date_id,full_date,day,month,year,quarter,day_of_week,is_weekend
20220103,2022-01-03,3,1,2022,1,Monday,False
20220104,2022-01-04,4,1,2022,1,Tuesday,False
20220105,2022-01-05,5,1,2022,1,Wednesday,False
20220106,2022-01-06,6,1,2022,1,Thursday,False
20220107,2022-01-07,7,1,2022,1,Friday,False
20220110,2022-01-10,10,1,2022,1,Monday,False
20220111,2022-01-11,11,1,2022,1,Tuesday,False
20220112,2022-01-12,12,1,2022,1,Wednesday,False
20220113,2022-01-13,13,1,2022,1,Thursday,False
20220114,2022-01-14,14,1,2022,1,Friday,False
20220118,2022-01-18,18,1,2022,1,Tuesday,False
20220119,2022-01-19,19,1,2022,1,Wednesday,False
20220120,2022-01-20,20,1,2022,1,Thursday,False
20220121,2022-01-21,21,1,2022,1,Friday,False
20220124,2022-01-24,24,1,2022,1,Monday,False
20220125,2022-01-25,25,1,2022,1,Tuesday,False
20220126,2022-01-26,26,1,2022,1,Wednesday,False
20220127,2022-01-27,27,1,2022,1,Thursday,False
20220128,2022-01-28,28,1,2022,1,Friday,False
20220131,2022-01-31,31,1,2022,1,Monday,False
20220201,2022-02-01,1,2,2022,1,Tuesday,False
20220202,2022-02-02,2,2,2022,1,Wednesday,False
20220203,2022-02-03,3,2,2022,1,Thursday,False
20220204,2022-02-04,4,2,2022,1,Friday,False
20220207,2022-02-07,7,2,2022,1,Monday,False
20220208,2022-02-08,8,2,2022,1,Tuesday,False
20220209,2022-02-09,9,2,2022,1,Wednesday,False
20220210,2022-02-10,10,2,2022,1,Thursday,False
20220211,2022-02-11,11,2,2022,1,Friday,False
20220214,2022-02-14,14,2,2022,1,Monday,False
20220215,2022-02-15,15,2,2022,1,Tuesday,False
20220216,2022-02-16,16,2,2022,1,Wednesday,False
20220217,2022-02-17,17,2,2022,1,Thursday,False
20220218,2022-02-18,18,2,2022,1,Friday,False
20220222,2022-02-22,22,2,2022,1,Tuesday,False
20220223,2022-02-23,23,2,2022,1,Wednesday,False
20220224,2022-02-24,24,2,2022,1,Thursday,False
20220225,2022-02-25,25,2,2022,1,Friday,False
20220228,2022-02-28,28,2,2022,1,Monday,False
20220301,2022-03-01,1,3,2022,1,Tuesday,False
20220302,2022-03-02,2,3,2022,1,Wednesday,False
20220303,2022-03-03,3,3,2022,1,Thursday,False
20220304,2022-03-04,4,3,2022,1,Friday,False
20220307,2022-03-07,7,3,2022,1,Monday,False
20220308,2022-03-08,8,3,2022,1,Tuesday,False
20220309,2022-03-09,9,3,2022,1,Wednesday,False
20220310,2022-03-10,10,3,2022,1,Thursday,False
20220311,2022-03-11,11,3,2022,1,Friday,False
20220314,2022-03-14,14,3,2022,1,Monday,False
20220315,2022-03-15,15,3,2022,1,Tuesday,False
20220316,2022-03-16,16,3,2022,1,Wednesday,False
20220317,2022-03-17,17,3,2022,1,Thursday,False
20220318,2022-03-18,18,3,2022,1,Friday,False
20220321,2022-03-21,21,3,2022,1,Monday,False
20220322,2022-03-22,22,3,2022,1,Tuesday,False
20220323,2022-03-23,23,3,2022,1,Wednesday,False
20220324,2022-03-24,24,3,2022,1,Thursday,False
20220325,2022-03-25,25,3,2022,1,Friday,False
20220328,2022-03-28,28,3,2022,1,Monday,False
20220329,2022-03-29,29,3,2022,1,Tuesday,False
20220330,2022-03-30,30,3,2022,1,Wednesday,False
20220331,2022-03-31,31,3,2022,1,Thursday,False
20220401,2022-04-01,1,4,2022,2,Friday,False
20220404,2022-04-04,4,4,2022,2,Monday,False
20220405,2022-04-05,5,4,2022,2,Tuesday,False
20220406,2022-04-06,6,4,2022,2,Wednesday,False
